fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,free_total_SO2_ratio,acid_ratio,sulphate_alcohol,is_red,quality,quality_label,wine_type
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,0.32352940224913523,10.57141346940933,5.264000000000001,1,5,medium,red
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,0.37313432278903996,8.863626291333759,6.664000000000001,1,5,medium,red
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,0.277777772633745,10.263144390599486,6.370000000000001,1,5,medium,red
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,0.2833333286111112,39.99985714336734,5.684,1,6,medium,red
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,0.3249999918750002,11.21210422408451,5.264000000000001,1,5,medium,red
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,0.25423728382648675,13.166644722258797,4.324000000000001,1,5,medium,red
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,0.7142856802721105,11.230751952689303,4.699999999999999,1,7,high,red
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,0.49999997222222375,13.448252675426422,5.414999999999999,1,7,high,red
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,0.16666666503267977,14.99997000006,8.4,1,5,medium,red
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,0.23076922721893497,11.55170422119962,4.968,1,5,medium,red
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,0.2711864360815858,9.105676250932925,5.148000000000001,1,5,medium,red
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.02,9.1,0.3103448168846615,12.786864283829042,9.282,1,5,medium,red
8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,0.3586206871819263,14.354815556749102,8.096,1,5,medium,red
8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,0.3445945922662528,14.354815556749102,8.556,1,5,medium,red
