fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,free_total_SO2_ratio,acid_ratio,sulphate_alcohol,is_red,quality
7.9,0.31,0.32,1.9,0.066,14.0,36.0,0.99364,3.41,0.56,12.6,0.3888888780864201,25.483788761971734,7.056,1,6
8.4,0.56,0.08,2.1,0.105,16.0,44.0,0.9958,3.13,0.52,11.0,0.363636355371901,14.999973214333544,5.720000000000001,1,5
7.7,0.43,0.37,10.0,0.169,22.0,210.0,0.99776,3.02,0.64,9.5,0.1047619042630385,17.906935100150932,6.08,0,5
7.0,0.28,0.36,1.0,0.035,8.0,70.0,0.9899,3.09,0.46,12.1,0.1142857126530612,24.999910714604592,5.566,0,6
5.9,0.54,0.0,0.9,0.032,12.0,82.0,0.99286,3.25,0.36,8.8,0.1463414616299821,10.925905692767236,3.168,0,5
5.8,0.26,0.29,1.0,0.042,35.0,101.0,0.99044,3.36,0.48,11.4,0.3465346500343104,22.307606509205733,5.472,0,7
6.4,0.595,0.14,5.2,0.058,15.0,97.0,0.9951,3.38,0.36,9.0,0.1546391736635136,10.756284443219425,3.24,0,4
6.5,0.32,0.45,7.7,0.022,31.0,97.0,0.99134,3.2,0.7,12.7,0.3195876255712616,20.312436523635863,8.889999999999999,0,7
6.2,0.19,0.38,5.1,0.021,22.0,82.0,0.98961,3.05,0.36,12.5,0.2682926796549673,32.631407203119984,4.5,0,6
5.2,0.645,0.0,2.15,0.08,15.0,28.0,0.99444,3.65,0.61,12.5,0.5357142665816333,8.062003004646504,7.625,1,6
6.3,0.495,0.22,1.8,0.046,31.0,140.0,0.9929,3.39,0.54,10.4,0.2214285698469388,12.727247015662597,5.6160000000000005,0,6
6.1,0.6,0.0,1.3,0.042,24.0,79.0,0.9937,3.31,0.38,9.4,0.3037974645088929,10.166649722250462,3.572,0,4
6.6,0.33,0.32,15.6,0.054,62.0,227.0,0.99734,3.25,0.56,10.4,0.2731277521007588,19.999939394123047,5.824000000000001,0,5
5.7,0.385,0.04,12.6,0.034,22.0,115.0,0.9964,3.28,0.63,9.9,0.1913043461625709,14.805156350243248,6.237,0,6
7.5,0.24,0.49,9.4,0.048,50.0,149.0,0.9962,3.17,0.59,10.5,0.3355704675465069,31.2498697922092,6.194999999999999,0,7
8.3,0.65,0.1,2.9,0.089,17.0,40.0,0.99803,3.29,0.55,9.5,0.4249999893750003,12.769211124290578,5.2250000000000005,1,5
6.3,0.32,0.26,12.3,0.044,24.0,205.0,0.99611,3.11,0.58,9.9,0.1170731701606186,19.68743847675476,5.742,0,5
6.2,0.3,0.2,6.6,0.045,42.0,170.0,0.9944,3.36,0.45,10.4,0.2470588220761246,20.66659777800741,4.680000000000001,0,6
7.0,0.59,0.0,1.7,0.052,3.1700000000000017,10.0,0.996,3.41,0.47,10.3,0.3169999683000034,11.864386670531069,4.841,1,5
6.7,0.15,0.32,7.9,0.034,17.0,81.0,0.99512,3.29,0.31,10.0,0.2098765406188081,44.66636889087406,3.1,0,6
5.2,0.285,0.29,5.15,0.035,64.0,138.0,0.9895,3.19,0.34,12.4,0.4637681125813905,18.245550015613983,4.216,0,8
6.7,0.15,0.38,1.7,0.037,20.0,84.0,0.99046,3.09,0.53,11.4,0.238095235260771,44.66636889087406,6.042000000000001,0,6
8.0,0.28,0.42,7.1,0.045,41.0,169.0,0.9959,3.17,0.43,10.6,0.242603548860334,28.57132653097668,4.558,0,5
7.5,0.58,0.2,2.0,0.073,34.0,44.0,0.99494,3.1,0.43,9.3,0.7727272551652897,12.93101218791002,3.999,1,5
6.6,0.16,0.4,1.5,0.044,48.0,143.0,0.9912,3.54,0.52,12.4,0.3356643333170326,41.24974218911132,6.448,0,7
7.1,0.145,0.33,4.6,0.05,33.0,131.0,0.9942,3.28,0.4,9.6,0.2519083950236,48.96517955048586,3.84,0,6
6.8,0.18,0.46,1.4,0.064,37.0,160.0,0.9924,3.37,0.45,11.1,0.2312499985546875,37.77756790240054,4.995,0,5
9.9,0.5,0.5,13.8,0.2,48.0,82.0,1.0005083,3.16,0.75,8.8,0.5853658465199287,19.7999604000792,6.6000000000000005,1,5
6.0,0.36,0.16,6.3,0.036,36.0,191.0,0.9942,3.17,0.62,9.8,0.1884816744058551,16.666620370498972,6.0760000000000005,0,5
7.4,0.38,0.34,8.3,0.052,44.0,168.0,0.99627,3.11,0.52,9.2,0.261904760345805,19.47363296412378,4.784,0,5
8.6,0.22,0.33,1.2,0.031,38.0,95.0,0.99239,2.89,0.31,10.3,0.3999999957894737,39.090731405766334,3.193,0,5
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,0.2499999910714288,13.818156694260551,5.335,1,5
5.0,0.21,0.21,10.2,0.037,17.0,112.0,0.99324,3.65,0.48,12.2,0.1517857129304847,23.8094104313789,5.856,0,7
6.8,0.25,0.34,4.7,0.031,34.0,134.0,0.9927,3.21,0.38,10.6,0.2537313413900646,27.1998912004352,4.028,0,6
5.0,0.8891499999999997,0.04,1.4,0.045,41.0,85.0,0.9938,3.65,0.48,10.5,0.4823529355017302,5.62334181708169,5.04,1,4
5.8,0.61,0.11,1.8,0.066,18.0,28.0,0.99483,3.55,0.66,10.9,0.64285711989796,9.508181134129288,7.194000000000001,1,6
7.9,0.51,0.25,2.9,0.077,21.0,45.0,0.9974,3.49,0.96,12.1,0.4666666562962965,15.49016570555744,11.616,1,6
7.1,0.25,0.3,2.4,0.042,25.0,122.0,0.994,3.43,0.61,10.5,0.2049180311072292,28.3998864004544,6.405,0,6
8.3,0.22,0.38,14.8,0.054,32.0,126.0,1.0002,3.22,0.5,9.7,0.2539682519526329,37.72710124044891,4.85,0,5
7.4,0.18,0.29,1.4,0.042,34.0,101.0,0.99384,3.54,0.6,10.5,0.3366336600333301,41.11088271731824,6.3,0,7
8.8,0.7,0.0,1.7,0.069,8.0,19.0,0.99701,3.31,0.53,10.0,0.4210526094182837,12.571410612270554,5.300000000000001,1,6
8.0,0.58,0.28,3.2,0.066,21.0,114.0,0.9973,3.22,0.54,9.4,0.1842105246999076,13.793079667104022,5.0760000000000005,1,6
5.0,0.34,0.0,6.5,0.028,33.0,163.0,0.9939,3.36,0.61,9.9,0.2024539864880123,14.705839100473234,6.039,0,6
7.1,0.56,0.14,1.6,0.078,7.0,18.0,0.99592,3.27,0.62,9.3,0.3888888672839518,12.678548788305733,5.766,1,5
6.7,0.29,0.45,14.3,0.054,30.0,181.0,0.99869,3.14,0.57,9.1,0.1657458554378682,23.103368609073765,5.186999999999999,0,5
5.8,0.58,0.0,1.5,0.021,33.0,96.0,0.98918,3.29,0.38,12.4,0.3437499964192709,9.999982758650416,4.712000000000001,0,6
8.0,0.19,0.36,1.8,0.05,16.0,84.0,0.9936,3.15,0.45,9.8,0.1904761882086168,42.10504155241288,4.41,0,7
6.0,0.29,0.25,1.4,0.033,30.0,114.0,0.9888917,3.08,0.43,13.2,0.2631578924284395,20.689583829021284,5.675999999999999,0,6
8.0,0.59,0.05,2.0,0.089,12.0,32.0,0.99735,3.36,0.61,10.0,0.3749999882812504,13.559299052035506,6.1,1,5
6.4,0.3,0.36,2.0,0.052,18.0,141.0,0.99273,3.38,0.53,10.5,0.127659573562698,21.33326222245926,5.565,0,6
7.1,0.26,0.49,2.2,0.032,31.0,113.0,0.9903,3.37,0.42,12.9,0.274336280758086,27.307587278510468,5.418,0,9
7.1,0.38,0.4,2.2,0.042,54.0,201.0,0.99177,3.03,0.5,11.4,0.2686567150813099,18.684161357470117,5.7,0,5
8.0,0.22,0.31,5.6,0.049,24.0,97.0,0.993,3.1,0.42,10.9,0.2474226778616219,36.36347107513148,4.578,0,5
8.0,0.715,0.22,2.3,0.075,13.0,81.0,0.99688,3.24,0.54,9.5,0.1604938251790885,11.188795540146096,5.130000000000001,1,6
6.8,0.19,0.36,1.9,0.035,30.0,96.0,0.9917,3.15,0.54,10.8,0.3124999967447917,35.78928531955095,5.832000000000001,0,7
7.4,0.64,0.47,14.15,0.168,42.0,185.0,0.9984,2.9,0.49,9.3,0.2270270257998539,11.562481933621978,4.557,0,5
9.2,0.35,0.39,0.9,0.042,15.0,61.0,0.9924,2.96,0.3,10.4,0.2459016353130879,26.285639183888048,3.12,0,4
6.3,0.22,0.57,1.4,0.2,14.0,96.0,0.9932,3.16,0.43,10.0,0.1458333318142361,28.63623347166604,4.3,0,6
6.2,0.23,0.23,1.2,0.021,18.0,128.0,0.99178,3.05,0.3,10.6,0.1406249989013672,26.956404537371576,3.18,0,5
10.0,0.29,0.4,2.9,0.098,10.0,26.0,1.0005083,3.48,0.91,9.7,0.3846153698224858,34.48263971503547,8.827,1,5
6.3,0.2,0.18,10.6,0.045,57.0,159.0,0.99666,3.09,0.54,9.2,0.3584905637830782,31.49984250078749,4.968,0,5
6.2,0.27,0.49,1.4,0.05,20.0,74.0,0.9931,3.32,0.44,9.8,0.2702702666179694,22.962877915266983,4.312,0,6
6.4,0.26,0.21,8.2,0.05,51.0,182.0,0.99542,3.23,0.48,9.5,0.2802197786801111,24.615289941192536,4.56,0,5
7.6,0.33,0.41,13.7,0.045,44.0,197.0,0.9989,3.18,0.64,9.1,0.223350252673349,23.03023324171745,5.824,0,5
6.2,0.27,0.47,1.2,0.146,28.0,105.0,0.99224,3.23,0.51,10.1,0.2666666641269841,22.962877915266983,5.151,0,5
7.1,0.23,0.3,2.6,0.034,62.0,148.0,0.99121,3.03,0.56,11.3,0.4189189160883857,30.8694310024739,6.328000000000001,0,7
8.1,0.27,0.41,1.45,0.033,11.0,63.0,0.9908,2.99,0.56,12.0,0.1746031718316956,29.99988888930041,6.720000000000001,0,5
6.2,0.25,0.48,10.0,0.044,76.0,240.0,0.99655,3.25,0.47,9.5,0.3166666653472222,24.7999008003968,4.465,0,6
6.4,0.33,0.24,9.8,0.041,29.0,109.0,0.9956,3.29,0.47,10.1,0.2660550434306877,19.39388062460417,4.747,0,6
8.1,0.45,0.34,8.3,0.037,33.0,216.0,0.9976,3.31,0.64,9.7,0.1527777770704732,17.999960000088887,6.207999999999999,0,5
7.6,0.4,0.27,1.2,0.053,23.0,193.0,0.99164,3.22,0.38,11.6,0.1191709838384923,18.99995250011875,4.408,0,5
6.2,0.785,0.0,2.1,0.06,6.0,13.0,0.99664,3.59,0.61,10.0,0.4615384260355057,7.898079110727247,6.1,1,4
6.3,0.24,0.37,1.8,0.031,6.0,61.0,0.9897,3.3,0.34,12.2,0.0983606541252351,26.249890625455727,4.148,0,4
6.4,0.53,0.09,3.9,0.123,14.0,31.0,0.9968,3.5,0.67,11.0,0.4516128886576487,12.075448914247332,7.37,1,4
